date,d,wday,is_holiday,wm_yr_wk,snap_CA,snap_TX,snap_WI,is_weekend
2011-01-29,d_1,1,0,11101,0,0,0,1
2011-01-30,d_2,2,0,11101,0,0,0,1
2011-01-31,d_3,3,0,11101,0,0,0,0
2011-02-01,d_4,4,0,11101,1,1,0,0
2011-02-02,d_5,5,0,11101,1,0,1,0
2011-02-03,d_6,6,0,11101,1,1,1,0
2011-02-04,d_7,7,0,11101,1,0,0,0
2011-02-05,d_8,1,0,11102,1,1,1,1
2011-02-06,d_9,2,1,11102,1,1,1,1
2011-02-07,d_10,3,0,11102,1,1,0,0
2011-02-08,d_11,4,0,11102,1,0,1,0
2011-02-09,d_12,5,0,11102,1,1,1,0
2011-02-10,d_13,6,0,11102,1,0,0,0
2011-02-11,d_14,7,0,11102,0,1,1,0
2011-02-12,d_15,1,0,11103,0,1,1,1
2011-02-13,d_16,2,0,11103,0,1,0,1
2011-02-14,d_17,3,1,11103,0,0,1,0
2011-02-15,d_18,4,0,11103,0,1,1,0
2011-02-16,d_19,5,0,11103,0,0,0,0
2011-02-17,d_20,6,0,11103,0,0,0,0
2011-02-18,d_21,7,0,11103,0,0,0,0
2011-02-19,d_22,1,0,11104,0,0,0,1
2011-02-20,d_23,2,0,11104,0,0,0,1
2011-02-21,d_24,3,1,11104,0,0,0,0
2011-02-22,d_25,4,0,11104,0,0,0,0
2011-02-23,d_26,5,0,11104,0,0,0,0
2011-02-24,d_27,6,0,11104,0,0,0,0
2011-02-25,d_28,7,0,11104,0,0,0,0
2011-02-26,d_29,1,0,11105,0,0,0,1
2011-02-27,d_30,2,0,11105,0,0,0,1
2011-02-28,d_31,3,0,11105,0,0,0,0
2011-03-01,d_32,4,0,11105,1,1,0,0
2011-03-02,d_33,5,0,11105,1,0,1,0
2011-03-03,d_34,6,0,11105,1,1,1,0
2011-03-04,d_35,7,0,11105,1,0,0,0
2011-03-05,d_36,1,0,11106,1,1,1,1
2011-03-06,d_37,2,0,11106,1,1,1,1
2011-03-07,d_38,3,0,11106,1,1,0,0
2011-03-08,d_39,4,0,11106,1,0,1,0
2011-03-09,d_40,5,1,11106,1,1,1,0
2011-03-10,d_41,6,0,11106,1,0,0,0
2011-03-11,d_42,7,0,11106,0,1,1,0
2011-03-12,d_43,1,0,11107,0,1,1,1
2011-03-13,d_44,2,0,11107,0,1,0,1
2011-03-14,d_45,3,0,11107,0,0,1,0
2011-03-15,d_46,4,0,11107,0,1,1,0
2011-03-16,d_47,5,1,11107,0,0,0,0
2011-03-17,d_48,6,1,11107,0,0,0,0
2011-03-18,d_49,7,0,11107,0,0,0,0
2011-03-19,d_50,1,0,11108,0,0,0,1
2011-03-20,d_51,2,1,11108,0,0,0,1
2011-03-21,d_52,3,0,11108,0,0,0,0
2011-03-22,d_53,4,0,11108,0,0,0,0
2011-03-23,d_54,5,0,11108,0,0,0,0
2011-03-24,d_55,6,0,11108,0,0,0,0
2011-03-25,d_56,7,0,11108,0,0,0,0
2011-03-26,d_57,1,0,11109,0,0,0,1
2011-03-27,d_58,2,0,11109,0,0,0,1
2011-03-28,d_59,3,0,11109,0,0,0,0
2011-03-29,d_60,4,0,11109,0,0,0,0
2011-03-30,d_61,5,0,11109,0,0,0,0
2011-03-31,d_62,6,0,11109,0,0,0,0
2011-04-01,d_63,7,0,11109,1,1,0,0
2011-04-02,d_64,1,0,11110,1,0,1,1
2011-04-03,d_65,2,0,11110,1,1,1,1
2011-04-04,d_66,3,0,11110,1,0,0,0
2011-04-05,d_67,4,0,11110,1,1,1,0
2011-04-06,d_68,5,0,11110,1,1,1,0
2011-04-07,d_69,6,0,11110,1,1,0,0
2011-04-08,d_70,7,0,11110,1,0,1,0
2011-04-09,d_71,1,0,11111,1,1,1,1
2011-04-10,d_72,2,0,11111,1,0,0,1
2011-04-11,d_73,3,0,11111,0,1,1,0
2011-04-12,d_74,4,0,11111,0,1,1,0
2011-04-13,d_75,5,0,11111,0,1,0,0
2011-04-14,d_76,6,0,11111,0,0,1,0
2011-04-15,d_77,7,0,11111,0,1,1,0
2011-04-16,d_78,1,0,11112,0,0,0,1
2011-04-17,d_79,2,0,11112,0,0,0,1
2011-04-18,d_80,3,0,11112,0,0,0,0
2011-04-19,d_81,4,0,11112,0,0,0,0
2011-04-20,d_82,5,0,11112,0,0,0,0
2011-04-21,d_83,6,0,11112,0,0,0,0
2011-04-22,d_84,7,0,11112,0,0,0,0
2011-04-23,d_85,1,0,11113,0,0,0,1
2011-04-24,d_86,2,1,11113,0,0,0,1
2011-04-25,d_87,3,0,11113,0,0,0,0
2011-04-26,d_88,4,1,11113,0,0,0,0
2011-04-27,d_89,5,0,11113,0,0,0,0
2011-04-28,d_90,6,0,11113,0,0,0,0
2011-04-29,d_91,7,0,11113,0,0,0,0
2011-04-30,d_92,1,0,11114,0,0,0,1
2011-05-01,d_93,2,0,11114,1,1,0,1
2011-05-02,d_94,3,0,11114,1,0,1,0
2011-05-03,d_95,4,0,11114,1,1,1,0
2011-05-04,d_96,5,0,11114,1,0,0,0
2011-05-05,d_97,6,1,11114,1,1,1,0
2011-05-06,d_98,7,0,11114,1,1,1,0
2011-05-07,d_99,1,0,11115,1,1,0,1
2011-05-08,d_100,2,1,11115,1,0,1,1
2011-05-09,d_101,3,0,11115,1,1,1,0
2011-05-10,d_102,4,0,11115,1,0,0,0
2011-05-11,d_103,5,0,11115,0,1,1,0
2011-05-12,d_104,6,0,11115,0,1,1,0
2011-05-13,d_105,7,0,11115,0,1,0,0
2011-05-14,d_106,1,0,11116,0,0,1,1
2011-05-15,d_107,2,0,11116,0,1,1,1
2011-05-16,d_108,3,0,11116,0,0,0,0
2011-05-17,d_109,4,0,11116,0,0,0,0
2011-05-18,d_110,5,0,11116,0,0,0,0
2011-05-19,d_111,6,0,11116,0,0,0,0
2011-05-20,d_112,7,0,11116,0,0,0,0
2011-05-21,d_113,1,0,11117,0,0,0,1
2011-05-22,d_114,2,0,11117,0,0,0,1
2011-05-23,d_115,3,0,11117,0,0,0,0
2011-05-24,d_116,4,0,11117,0,0,0,0
2011-05-25,d_117,5,0,11117,0,0,0,0
2011-05-26,d_118,6,0,11117,0,0,0,0
2011-05-27,d_119,7,0,11117,0,0,0,0
2011-05-28,d_120,1,0,11118,0,0,0,1
2011-05-29,d_121,2,0,11118,0,0,0,1
2011-05-30,d_122,3,1,11118,0,0,0,0
2011-05-31,d_123,4,1,11118,0,0,0,0
2011-06-01,d_124,5,0,11118,1,1,0,0
2011-06-02,d_125,6,0,11118,1,0,1,0
2011-06-03,d_126,7,0,11118,1,1,1,0
2011-06-04,d_127,1,0,11119,1,0,0,1
2011-06-05,d_128,2,0,11119,1,1,1,1
2011-06-06,d_129,3,0,11119,1,1,1,0
2011-06-07,d_130,4,0,11119,1,1,0,0
2011-06-08,d_131,5,0,11119,1,0,1,0
2011-06-09,d_132,6,0,11119,1,1,1,0
2011-06-10,d_133,7,0,11119,1,0,0,0
2011-06-11,d_134,1,0,11120,0,1,1,1
2011-06-12,d_135,2,1,11120,0,1,1,1
2011-06-13,d_136,3,0,11120,0,1,0,0
2011-06-14,d_137,4,0,11120,0,0,1,0
2011-06-15,d_138,5,0,11120,0,1,1,0
2011-06-16,d_139,6,0,11120,0,0,0,0
2011-06-17,d_140,7,0,11120,0,0,0,0
2011-06-18,d_141,1,0,11121,0,0,0,1
2011-06-19,d_142,2,1,11121,0,0,0,1
2011-06-20,d_143,3,0,11121,0,0,0,0
2011-06-21,d_144,4,0,11121,0,0,0,0
2011-06-22,d_145,5,0,11121,0,0,0,0
2011-06-23,d_146,6,0,11121,0,0,0,0
2011-06-24,d_147,7,0,11121,0,0,0,0
2011-06-25,d_148,1,0,11122,0,0,0,1
2011-06-26,d_149,2,0,11122,0,0,0,1
2011-06-27,d_150,3,0,11122,0,0,0,0
2011-06-28,d_151,4,0,11122,0,0,0,0
2011-06-29,d_152,5,0,11122,0,0,0,0
2011-06-30,d_153,6,0,11122,0,0,0,0
2011-07-01,d_154,7,0,11122,1,1,0,0
2011-07-02,d_155,1,0,11123,1,0,1,1
2011-07-03,d_156,2,0,11123,1,1,1,1
2011-07-04,d_157,3,1,11123,1,0,0,0
2011-07-05,d_158,4,0,11123,1,1,1,0
2011-07-06,d_159,5,0,11123,1,1,1,0
2011-07-07,d_160,6,0,11123,1,1,0,0
2011-07-08,d_161,7,0,11123,1,0,1,0
2011-07-09,d_162,1,0,11124,1,1,1,1
2011-07-10,d_163,2,0,11124,1,0,0,1
2011-07-11,d_164,3,0,11124,0,1,1,0
2011-07-12,d_165,4,0,11124,0,1,1,0
2011-07-13,d_166,5,0,11124,0,1,0,0
2011-07-14,d_167,6,0,11124,0,0,1,0
2011-07-15,d_168,7,0,11124,0,1,1,0
2011-07-16,d_169,1,0,11125,0,0,0,1
2011-07-17,d_170,2,0,11125,0,0,0,1
2011-07-18,d_171,3,0,11125,0,0,0,0
2011-07-19,d_172,4,0,11125,0,0,0,0
2011-07-20,d_173,5,0,11125,0,0,0,0
2011-07-21,d_174,6,0,11125,0,0,0,0
2011-07-22,d_175,7,0,11125,0,0,0,0
2011-07-23,d_176,1,0,11126,0,0,0,1
2011-07-24,d_177,2,0,11126,0,0,0,1
2011-07-25,d_178,3,0,11126,0,0,0,0
2011-07-26,d_179,4,0,11126,0,0,0,0
2011-07-27,d_180,5,0,11126,0,0,0,0
2011-07-28,d_181,6,0,11126,0,0,0,0
2011-07-29,d_182,7,0,11126,0,0,0,0
2011-07-30,d_183,1,0,11127,0,0,0,1
2011-07-31,d_184,2,0,11127,0,0,0,1
2011-08-01,d_185,3,1,11127,1,1,0,0
2011-08-02,d_186,4,0,11127,1,0,1,0
2011-08-03,d_187,5,0,11127,1,1,1,0
2011-08-04,d_188,6,0,11127,1,0,0,0
2011-08-05,d_189,7,0,11127,1,1,1,0
2011-08-06,d_190,1,0,11128,1,1,1,1
2011-08-07,d_191,2,0,11128,1,1,0,1
2011-08-08,d_192,3,0,11128,1,0,1,0
2011-08-09,d_193,4,0,11128,1,1,1,0
2011-08-10,d_194,5,0,11128,1,0,0,0
2011-08-11,d_195,6,0,11128,0,1,1,0
2011-08-12,d_196,7,0,11128,0,1,1,0
2011-08-13,d_197,1,0,11129,0,1,0,1
2011-08-14,d_198,2,0,11129,0,0,1,1
2011-08-15,d_199,3,0,11129,0,1,1,0
2011-08-16,d_200,4,0,11129,0,0,0,0
2011-08-17,d_201,5,0,11129,0,0,0,0
2011-08-18,d_202,6,0,11129,0,0,0,0
2011-08-19,d_203,7,0,11129,0,0,0,0
2011-08-20,d_204,1,0,11130,0,0,0,1
2011-08-21,d_205,2,0,11130,0,0,0,1
2011-08-22,d_206,3,0,11130,0,0,0,0
2011-08-23,d_207,4,0,11130,0,0,0,0
2011-08-24,d_208,5,0,11130,0,0,0,0
2011-08-25,d_209,6,0,11130,0,0,0,0
2011-08-26,d_210,7,0,11130,0,0,0,0
2011-08-27,d_211,1,0,11131,0,0,0,1
2011-08-28,d_212,2,0,11131,0,0,0,1
2011-08-29,d_213,3,0,11131,0,0,0,0
2011-08-30,d_214,4,0,11131,0,0,0,0
2011-08-31,d_215,5,1,11131,0,0,0,0
2011-09-01,d_216,6,0,11131,1,1,0,0
2011-09-02,d_217,7,0,11131,1,0,1,0
2011-09-03,d_218,1,0,11132,1,1,1,1
2011-09-04,d_219,2,0,11132,1,0,0,1
2011-09-05,d_220,3,1,11132,1,1,1,0
2011-09-06,d_221,4,0,11132,1,1,1,0
2011-09-07,d_222,5,0,11132,1,1,0,0
2011-09-08,d_223,6,0,11132,1,0,1,0
2011-09-09,d_224,7,0,11132,1,1,1,0
2011-09-10,d_225,1,0,11133,1,0,0,1
2011-09-11,d_226,2,0,11133,0,1,1,1
2011-09-12,d_227,3,0,11133,0,1,1,0
2011-09-13,d_228,4,0,11133,0,1,0,0
2011-09-14,d_229,5,0,11133,0,0,1,0
2011-09-15,d_230,6,0,11133,0,1,1,0
2011-09-16,d_231,7,0,11133,0,0,0,0
2011-09-17,d_232,1,0,11134,0,0,0,1
2011-09-18,d_233,2,0,11134,0,0,0,1
2011-09-19,d_234,3,0,11134,0,0,0,0
2011-09-20,d_235,4,0,11134,0,0,0,0
2011-09-21,d_236,5,0,11134,0,0,0,0
2011-09-22,d_237,6,0,11134,0,0,0,0
2011-09-23,d_238,7,0,11134,0,0,0,0
2011-09-24,d_239,1,0,11135,0,0,0,1
2011-09-25,d_240,2,0,11135,0,0,0,1
2011-09-26,d_241,3,0,11135,0,0,0,0
2011-09-27,d_242,4,0,11135,0,0,0,0
2011-09-28,d_243,5,0,11135,0,0,0,0
2011-09-29,d_244,6,0,11135,0,0,0,0
2011-09-30,d_245,7,0,11135,0,0,0,0
2011-10-01,d_246,1,0,11136,1,1,0,1
2011-10-02,d_247,2,0,11136,1,0,1,1
2011-10-03,d_248,3,0,11136,1,1,1,0
2011-10-04,d_249,4,0,11136,1,0,0,0
2011-10-05,d_250,5,0,11136,1,1,1,0
2011-10-06,d_251,6,0,11136,1,1,1,0
2011-10-07,d_252,7,0,11136,1,1,0,0
2011-10-08,d_253,1,0,11137,1,0,1,1
2011-10-09,d_254,2,0,11137,1,1,1,1
2011-10-10,d_255,3,1,11137,1,0,0,0
2011-10-11,d_256,4,0,11137,0,1,1,0
2011-10-12,d_257,5,0,11137,0,1,1,0
2011-10-13,d_258,6,0,11137,0,1,0,0
2011-10-14,d_259,7,0,11137,0,0,1,0
2011-10-15,d_260,1,0,11138,0,1,1,1
2011-10-16,d_261,2,0,11138,0,0,0,1
2011-10-17,d_262,3,0,11138,0,0,0,0
2011-10-18,d_263,4,0,11138,0,0,0,0
2011-10-19,d_264,5,0,11138,0,0,0,0
2011-10-20,d_265,6,0,11138,0,0,0,0
2011-10-21,d_266,7,0,11138,0,0,0,0
2011-10-22,d_267,1,0,11139,0,0,0,1
2011-10-23,d_268,2,0,11139,0,0,0,1
2011-10-24,d_269,3,0,11139,0,0,0,0
2011-10-25,d_270,4,0,11139,0,0,0,0
2011-10-26,d_271,5,0,11139,0,0,0,0
2011-10-27,d_272,6,0,11139,0,0,0,0
2011-10-28,d_273,7,0,11139,0,0,0,0
2011-10-29,d_274,1,0,11140,0,0,0,1
2011-10-30,d_275,2,0,11140,0,0,0,1
2011-10-31,d_276,3,1,11140,0,0,0,0
2011-11-01,d_277,4,0,11140,1,1,0,0
2011-11-02,d_278,5,0,11140,1,0,1,0
2011-11-03,d_279,6,0,11140,1,1,1,0
2011-11-04,d_280,7,0,11140,1,0,0,0
2011-11-05,d_281,1,0,11141,1,1,1,1
2011-11-06,d_282,2,0,11141,1,1,1,1
2011-11-07,d_283,3,1,11141,1,1,0,0
2011-11-08,d_284,4,0,11141,1,0,1,0
2011-11-09,d_285,5,0,11141,1,1,1,0
2011-11-10,d_286,6,0,11141,1,0,0,0
2011-11-11,d_287,7,1,11141,0,1,1,0
2011-11-12,d_288,1,0,11142,0,1,1,1
2011-11-13,d_289,2,0,11142,0,1,0,1
2011-11-14,d_290,3,0,11142,0,0,1,0
2011-11-15,d_291,4,0,11142,0,1,1,0
2011-11-16,d_292,5,0,11142,0,0,0,0
2011-11-17,d_293,6,0,11142,0,0,0,0
2011-11-18,d_294,7,0,11142,0,0,0,0
2011-11-19,d_295,1,0,11143,0,0,0,1
2011-11-20,d_296,2,0,11143,0,0,0,1
2011-11-21,d_297,3,0,11143,0,0,0,0
2011-11-22,d_298,4,0,11143,0,0,0,0
2011-11-23,d_299,5,0,11143,0,0,0,0
2011-11-24,d_300,6,1,11143,0,0,0,0
2011-11-25,d_301,7,0,11143,0,0,0,0
2011-11-26,d_302,1,0,11144,0,0,0,1
2011-11-27,d_303,2,0,11144,0,0,0,1
2011-11-28,d_304,3,0,11144,0,0,0,0
